"Uva", 713.06, 348
"Coliflor", 30.43, 405
"Kiwi", 426.20, 412
"Zuccini", 78.67, 570
"Sandía", 58.29, 864
"Lechuga", 35.79, 1035
"Tomate", 741.34, 783
"Limon", 340.02, 616
"Zuccini", 80.82, 636
"Papa", 13.68, 850
"Morrón", 2992.12, 570
"Lechuga", 44.99, 837
"Berenjena", 62.83, 516
"Alcachofa", 145.22, 312
"Naranja", 21.46, 1140
"Mandarina", 25.62, 910
"Lima", 999.28, 220
"Pera", 171.87, 1020
"TomCherry", 520.39, 212
"Morrón", 2912.52, 522
"Lima", 1391.49, 208
"Acelga", 21.67, 855
"Cebolla", 54.55, 864
"Kinoto", 34.42, 222
"Alcachofa", 131.09, 342
"Frutilla", 260.24, 273
"Pera", 146.49, 920
"Papa", 16.12, 880
"Lima", 1278.86, 160
"Durazno", 170.00, 896
"Lima", 1381.12, 192
"Rabanito", 214.49, 339
"Repollo", 6.25, 756
"Durazno", 150.90, 656
"Alcachofa", 129.18, 315
"Zanahoria", 26.60, 690
"Cebolla", 56.51, 696
"Zanahoria", 31.35, 540
"Choclo", 60.10, 297
"Batata", 21.42, 960
"Ciruela", 940.91, 747
"Frutilla", 282.30, 255
"Caqui", 840.33, 98
"Manzana", 138.66, 1040
"Melón", 102.32, 328
"Ciruela", 954.41, 1008
"Limon", 309.37, 819
"Lechuga", 32.58, 828
"Tomate", 716.11, 918
"Caqui", 829.30, 83
"Espárrago", 615.44, 230
"Ajo", 930.22, 107
"Limon", 317.76, 749
"Durazno", 144.94, 920
"TomCherry", 510.24, 220
"Naranja", 13.38, 1200
"Caqui", 796.47, 96
"Repollo", 4.61, 693
"Palta", 488.09, 420
"Brócoli", 361.59, 436
"Champignon", 3542.75, 118
"Cebolla", 71.36, 864
"Acelga", 20.18, 1080
"Lima", 1202.15, 192
"Uva", 712.83, 294
"Lima", 973.74, 172
"Lima", 1211.01, 164
"Repollo", 2.46, 616
"Acelga", 18.29, 990
"Mandarina", 9.91, 840
"Manzana", 146.07, 1050
"Coliflor", 34.13, 470
"Kiwi", 432.14, 332
"TomCherry", 539.80, 216
"Palta", 493.41, 505
"Lechuga", 45.32, 819
"Pera", 171.62, 1090
"Zuccini", 83.09, 546
"Lima", 1444.40, 188
"Ciruela", 912.50, 1044
"Caqui", 813.07, 103
"Melón", 106.93, 344
"Manzana", 143.90, 1060
"Palta", 1119.76, 336
"Acelga", 15.41, 999
"Ajo", 941.61, 89
"Calabaza", 18.93, 640
"Lima", 1191.05, 178
"Lima", 1379.11, 180
"Champignon", 3599.13, 85
"Manzana", 136.27, 1070
"Higo", 2506.88, 108
"Morrón", 2892.52, 696
"Apio", 57.54, 303
"Palta", 1201.26, 404
"Espárrago", 617.59, 230
"Mandarina", 21.67, 1160
"Papa", 17.53, 860
"Higo", 2461.43, 104
"Banana", 61.77, 880
"Cebolla", 60.63, 832
"Tomate", 748.93, 981
"Durazno", 168.84, 824
"Limon", 303.61, 658
"Manzana", 134.52, 1200
"Zuccini", 73.18, 642
"Banana", 63.83, 930
"Cebolla", 63.16, 912
"Berenjena", 50.63, 672
"Cereza", 1023.52, 222
"Brócoli", 336.64, 364
"Durazno", 139.41, 864
"Durazno", 255.41, 832
"Palta", 1127.77, 352
"Frutilla", 267.62, 321
